Data set,num_m,num_n,perc_m,P t=0.05,R t=0.5,F1 t=0.5,F* t=0.5,P opt (t),R opt (t),F1 opt (t),F* opt (t),AUC-PR,CRL-0.05 (t_l/t_u),CRL-0.1 (t_l/t_u),CRL-0.2 (t_l/t_u),CRL-0.3 (t_l/t_u)
svm_linear_wdc_xlarge_computers,99910,499550,16.667,0.656,0.653,0.655,0.487,1.000 (t=1.000),1.000 (t=0.001),0.655 (t=0.508),0.487 (t=0.508),0.709, 0.000 (t_l=0.064/t_u=0.064),0.000 (t_l=0.123/t_u=0.123),0.000 (t_l=0.262/t_u=0.262),0.000 (t_l=0.420/t_u=0.420)
svm_rbf_wdc_xlarge_computers,99910,499550,16.667,0.663,0.665,0.664,0.497,1.000 (t=1.000),1.000 (t=0.001),0.664 (t=0.509),0.497 (t=0.509),0.725, 0.000 (t_l=0.067/t_u=0.067),0.000 (t_l=0.122/t_u=0.122),0.000 (t_l=0.259/t_u=0.259),0.000 (t_l=0.432/t_u=0.432)
,,,,,,,,,,,,,,,,
random_forest_wdc_xlarge_shoes,44400,222000,16.667,0.608,0.679,0.642,0.472,0.953 (t=1.000),1.000 (t=0.000),0.642 (t=0.482),0.473 (t=0.482),0.686, 0.000 (t_l=0.110/t_u=0.110),0.000 (t_l=0.200/t_u=0.200),0.000 (t_l=0.350/t_u=0.350),0.000 (t_l=0.470/t_u=0.470)
svm_linear_wdc_xlarge_shoes,44400,222000,16.667,0.535,0.503,0.519,0.35,1.000 (t=1.000),1.000 (t=0.007),0.529 (t=0.375),0.359 (t=0.375),0.535, 0.000 (t_l=0.094/t_u=0.094),0.000 (t_l=0.136/t_u=0.136),0.000 (t_l=0.209/t_u=0.209),0.000 (t_l=0.290/t_u=0.290)
svm_rbf_wdc_xlarge_shoes,44400,222000,16.667,0.531,0.496,0.513,0.345,1.000 (t=1.000),1.000 (t=0.006),0.522 (t=0.368),0.353 (t=0.368),0.551, 0.000 (t_l=0.102/t_u=0.102),0.000 (t_l=0.128/t_u=0.128),0.000 (t_l=0.187/t_u=0.187),0.000 (t_l=0.260/t_u=0.260)
,,,,,,,,,,,,,,,,
random_forest_wdc_xlarge_watches,95640,478200,16.667,0.82,0.846,0.833,0.713,0.999 (t=1.000),1.000 (t=0.000),0.836 (t=0.598),0.719 (t=0.598),0.913, 0.000 (t_l=0.150/t_u=0.150),0.000 (t_l=0.330/t_u=0.330),0.107 (t_l=0.460/t_u=0.610),0.334 (t_l=0.310/t_u=0.790)
svm_linear_wdc_xlarge_watches,95640,478200,16.667,0.751,0.756,0.754,0.605,1.000 (t=1.000),1.000 (t=0.000),0.757 (t=0.548),0.609 (t=0.548),0.816, 0.000 (t_l=0.061/t_u=0.061),0.000 (t_l=0.137/t_u=0.137),0.000 (t_l=0.379/t_u=0.379),0.128 (t_l=0.414/t_u=0.625)
svm_rbf_wdc_xlarge_watches,95640,478200,16.667,0.769,0.748,0.758,0.611,1.000 (t=1.000),1.000 (t=0.000),0.765 (t=0.603),0.619 (t=0.603),0.813, 0.000 (t_l=0.077/t_u=0.077),0.000 (t_l=0.129/t_u=0.129),0.000 (t_l=0.332/t_u=0.332),0.168 (t_l=0.380/t_u=0.657)
